campaign_id,campaign_name,ad_id,ad_platform,ad_format,target_url,impressions,clicks,cost,date,utm_source,utm_medium,utm_campaign,target_category
C001,春夏新作_ドレス,ADC001_twitter_20251125,twitter,story,https://ec.example.com/products?campaign=C001,23712,517,22744.3,2025-11-25,twitter,cpc,春夏新作-ドレス,ドレス
C001,春夏新作_ドレス,ADC001_google_20251125,google,carousel,https://ec.example.com/products?campaign=C001,9442,250,21375.23,2025-11-25,google,cpc,春夏新作-ドレス,ドレス
C002,セール_アウター,ADC002_twitter_20251125,twitter,carousel,https://ec.example.com/products?campaign=C002,25827,542,23114.57,2025-11-25,twitter,cpc,セール-アウター,アウター
C002,セール_アウター,ADC002_youtube_20251125,youtube,story,https://ec.example.com/products?campaign=C002,12096,225,22399.47,2025-11-25,youtube,cpc,セール-アウター,アウター
C002,セール_アウター,ADC002_facebook_20251125,facebook,carousel,https://ec.example.com/products?campaign=C002,15303,482,24116.91,2025-11-25,facebook,cpc,セール-アウター,アウター
C003,トレンド_トップス,ADC003_google_20251125,google,banner,https://ec.example.com/products?campaign=C003,5888,128,8917.43,2025-11-25,google,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_twitter_20251125,twitter,video,https://ec.example.com/products?campaign=C003,7417,181,10059.53,2025-11-25,twitter,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_youtube_20251125,youtube,banner,https://ec.example.com/products?campaign=C003,4725,90,9851.41,2025-11-25,youtube,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_instagram_20251125,instagram,story,https://ec.example.com/products?campaign=C003,2983,119,8605.74,2025-11-25,instagram,cpc,トレンド-トップス,トップス
C004,新作_バッグ,ADC004_instagram_20251125,instagram,video,https://ec.example.com/products?campaign=C004,5458,215,12875.06,2025-11-25,instagram,cpc,新作-バッグ,バッグ
C004,新作_バッグ,ADC004_google_20251125,google,story,https://ec.example.com/products?campaign=C004,6928,152,13221.59,2025-11-25,google,cpc,新作-バッグ,バッグ
C004,新作_バッグ,ADC004_twitter_20251125,twitter,video,https://ec.example.com/products?campaign=C004,17761,338,15095.59,2025-11-25,twitter,cpc,新作-バッグ,バッグ
C004,新作_バッグ,ADC004_youtube_20251125,youtube,image,https://ec.example.com/products?campaign=C004,7270,132,13862.39,2025-11-25,youtube,cpc,新作-バッグ,バッグ
C005,シューズ_プロモ,ADC005_youtube_20251125,youtube,story,https://ec.example.com/products?campaign=C005,4872,108,11196.63,2025-11-25,youtube,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_facebook_20251125,facebook,image,https://ec.example.com/products?campaign=C005,7643,207,9967.36,2025-11-25,facebook,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_twitter_20251125,twitter,image,https://ec.example.com/products?campaign=C005,7822,176,10131.18,2025-11-25,twitter,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_instagram_20251125,instagram,image,https://ec.example.com/products?campaign=C005,4812,147,11125.01,2025-11-25,instagram,cpc,シューズ-プロモ,シューズ
C006,アクセサリー_キャンペーン,ADC006_facebook_20251125,facebook,banner,https://ec.example.com/products?campaign=C006,5078,157,9767.82,2025-11-25,facebook,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_twitter_20251125,twitter,carousel,https://ec.example.com/products?campaign=C006,10807,220,9760.34,2025-11-25,twitter,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_youtube_20251125,youtube,carousel,https://ec.example.com/products?campaign=C006,4682,98,9919.76,2025-11-25,youtube,cpc,アクセサリー-キャンペーン,アクセサリー
C007,デニム_特集,ADC007_facebook_20251125,facebook,banner,https://ec.example.com/products?campaign=C007,5545,178,10014.52,2025-11-25,facebook,cpc,デニム-特集,ボトムス
C007,デニム_特集,ADC007_google_20251125,google,story,https://ec.example.com/products?campaign=C007,5702,150,11664.45,2025-11-25,google,cpc,デニム-特集,ボトムス
C007,デニム_特集,ADC007_youtube_20251125,youtube,banner,https://ec.example.com/products?campaign=C007,5134,90,9879.37,2025-11-25,youtube,cpc,デニム-特集,ボトムス
C008,ワンピース_セール,ADC008_twitter_20251125,twitter,story,https://ec.example.com/products?campaign=C008,13425,291,16527.2,2025-11-25,twitter,cpc,ワンピース-セール,ドレス
C008,ワンピース_セール,ADC008_google_20251125,google,banner,https://ec.example.com/products?campaign=C008,9230,230,16929.82,2025-11-25,google,cpc,ワンピース-セール,ドレス
C008,ワンピース_セール,ADC008_instagram_20251125,instagram,video,https://ec.example.com/products?campaign=C008,8714,313,19195.66,2025-11-25,instagram,cpc,ワンピース-セール,ドレス
