campaign_id,campaign_name,ad_id,ad_platform,ad_format,target_url,impressions,clicks,cost,date,utm_source,utm_medium,utm_campaign,target_category
C001,春夏新作_ドレス,ADC001_twitter_20251103,twitter,image,https://ec.example.com/products?campaign=C001,11776,223,12434.21,2025-11-03,twitter,cpc,春夏新作-ドレス,ドレス
C001,春夏新作_ドレス,ADC001_facebook_20251103,facebook,video,https://ec.example.com/products?campaign=C001,6557,194,12337.97,2025-11-03,facebook,cpc,春夏新作-ドレス,ドレス
C001,春夏新作_ドレス,ADC001_google_20251103,google,banner,https://ec.example.com/products?campaign=C001,5026,117,10619.2,2025-11-03,google,cpc,春夏新作-ドレス,ドレス
C001,春夏新作_ドレス,ADC001_youtube_20251103,youtube,carousel,https://ec.example.com/products?campaign=C001,5826,102,11534.89,2025-11-03,youtube,cpc,春夏新作-ドレス,ドレス
C002,セール_アウター,ADC002_youtube_20251103,youtube,image,https://ec.example.com/products?campaign=C002,10858,198,16191.77,2025-11-03,youtube,cpc,セール-アウター,アウター
C002,セール_アウター,ADC002_twitter_20251103,twitter,video,https://ec.example.com/products?campaign=C002,14701,339,17170.3,2025-11-03,twitter,cpc,セール-アウター,アウター
C002,セール_アウター,ADC002_google_20251103,google,banner,https://ec.example.com/products?campaign=C002,10398,223,16753.93,2025-11-03,google,cpc,セール-アウター,アウター
C002,セール_アウター,ADC002_facebook_20251103,facebook,carousel,https://ec.example.com/products?campaign=C002,9467,312,17493.6,2025-11-03,facebook,cpc,セール-アウター,アウター
C003,トレンド_トップス,ADC003_facebook_20251103,facebook,video,https://ec.example.com/products?campaign=C003,4518,153,10217.75,2025-11-03,facebook,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_google_20251103,google,carousel,https://ec.example.com/products?campaign=C003,4331,123,10049.77,2025-11-03,google,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_twitter_20251103,twitter,banner,https://ec.example.com/products?campaign=C003,7950,173,10165.4,2025-11-03,twitter,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_instagram_20251103,instagram,story,https://ec.example.com/products?campaign=C003,3940,128,9924.14,2025-11-03,instagram,cpc,トレンド-トップス,トップス
C004,新作_バッグ,ADC004_facebook_20251103,facebook,image,https://ec.example.com/products?campaign=C004,10046,281,18091.45,2025-11-03,facebook,cpc,新作-バッグ,バッグ
C004,新作_バッグ,ADC004_twitter_20251103,twitter,video,https://ec.example.com/products?campaign=C004,19448,437,20065.51,2025-11-03,twitter,cpc,新作-バッグ,バッグ
C004,新作_バッグ,ADC004_google_20251103,google,banner,https://ec.example.com/products?campaign=C004,9811,257,19422.58,2025-11-03,google,cpc,新作-バッグ,バッグ
C005,シューズ_プロモ,ADC005_google_20251103,google,image,https://ec.example.com/products?campaign=C005,12524,291,21613.05,2025-11-03,google,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_instagram_20251103,instagram,video,https://ec.example.com/products?campaign=C005,12498,373,21068.33,2025-11-03,instagram,cpc,シューズ-プロモ,シューズ
C006,アクセサリー_キャンペーン,ADC006_youtube_20251103,youtube,banner,https://ec.example.com/products?campaign=C006,3912,73,8581.4,2025-11-03,youtube,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_facebook_20251103,facebook,carousel,https://ec.example.com/products?campaign=C006,4581,135,9568.67,2025-11-03,facebook,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_twitter_20251103,twitter,image,https://ec.example.com/products?campaign=C006,9003,220,10015.04,2025-11-03,twitter,cpc,アクセサリー-キャンペーン,アクセサリー
C007,デニム_特集,ADC007_facebook_20251103,facebook,video,https://ec.example.com/products?campaign=C007,10183,281,17911.92,2025-11-03,facebook,cpc,デニム-特集,ボトムス
C007,デニム_特集,ADC007_twitter_20251103,twitter,carousel,https://ec.example.com/products?campaign=C007,14301,309,15491.52,2025-11-03,twitter,cpc,デニム-特集,ボトムス
C008,ワンピース_セール,ADC008_twitter_20251103,twitter,carousel,https://ec.example.com/products?campaign=C008,21362,436,23670.87,2025-11-03,twitter,cpc,ワンピース-セール,ドレス
C008,ワンピース_セール,ADC008_facebook_20251103,facebook,banner,https://ec.example.com/products?campaign=C008,10348,343,23419.47,2025-11-03,facebook,cpc,ワンピース-セール,ドレス
