campaign_id,campaign_name,ad_id,ad_platform,ad_format,target_url,impressions,clicks,cost,date,utm_source,utm_medium,utm_campaign,target_category
C001,春夏新作_ドレス,ADC001_twitter_20250911,twitter,banner,https://ec.example.com/products?campaign=C001,17547,354,16750.0,2025-09-11,twitter,cpc,春夏新作-ドレス,ドレス
C001,春夏新作_ドレス,ADC001_youtube_20250911,youtube,banner,https://ec.example.com/products?campaign=C001,9146,181,16586.83,2025-09-11,youtube,cpc,春夏新作-ドレス,ドレス
C001,春夏新作_ドレス,ADC001_instagram_20250911,instagram,image,https://ec.example.com/products?campaign=C001,7300,218,14429.04,2025-09-11,instagram,cpc,春夏新作-ドレス,ドレス
C002,セール_アウター,ADC002_facebook_20250911,facebook,image,https://ec.example.com/products?campaign=C002,6966,219,15498.43,2025-09-11,facebook,cpc,セール-アウター,アウター
C002,セール_アウター,ADC002_twitter_20250911,twitter,image,https://ec.example.com/products?campaign=C002,16660,351,17434.19,2025-09-11,twitter,cpc,セール-アウター,アウター
C002,セール_アウター,ADC002_youtube_20250911,youtube,image,https://ec.example.com/products?campaign=C002,10545,196,17496.92,2025-09-11,youtube,cpc,セール-アウター,アウター
C002,セール_アウター,ADC002_google_20250911,google,carousel,https://ec.example.com/products?campaign=C002,7555,212,14970.76,2025-09-11,google,cpc,セール-アウター,アウター
C003,トレンド_トップス,ADC003_youtube_20250911,youtube,banner,https://ec.example.com/products?campaign=C003,6072,107,11335.69,2025-09-11,youtube,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_twitter_20250911,twitter,banner,https://ec.example.com/products?campaign=C003,12120,286,13004.39,2025-09-11,twitter,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_google_20250911,google,carousel,https://ec.example.com/products?campaign=C003,6997,183,12730.06,2025-09-11,google,cpc,トレンド-トップス,トップス
C004,新作_バッグ,ADC004_google_20250911,google,story,https://ec.example.com/products?campaign=C004,6808,189,14230.33,2025-09-11,google,cpc,新作-バッグ,バッグ
C004,新作_バッグ,ADC004_instagram_20250911,instagram,image,https://ec.example.com/products?campaign=C004,6271,187,15117.23,2025-09-11,instagram,cpc,新作-バッグ,バッグ
C004,新作_バッグ,ADC004_facebook_20250911,facebook,carousel,https://ec.example.com/products?campaign=C004,8695,262,14022.18,2025-09-11,facebook,cpc,新作-バッグ,バッグ
C004,新作_バッグ,ADC004_twitter_20250911,twitter,video,https://ec.example.com/products?campaign=C004,14508,306,13383.86,2025-09-11,twitter,cpc,新作-バッグ,バッグ
C005,シューズ_プロモ,ADC005_facebook_20250911,facebook,image,https://ec.example.com/products?campaign=C005,6497,178,10589.5,2025-09-11,facebook,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_youtube_20250911,youtube,image,https://ec.example.com/products?campaign=C005,6174,114,10993.7,2025-09-11,youtube,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_twitter_20250911,twitter,video,https://ec.example.com/products?campaign=C005,10982,251,10848.87,2025-09-11,twitter,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_google_20250911,google,image,https://ec.example.com/products?campaign=C005,7467,168,11541.55,2025-09-11,google,cpc,シューズ-プロモ,シューズ
C006,アクセサリー_キャンペーン,ADC006_youtube_20250911,youtube,story,https://ec.example.com/products?campaign=C006,4215,87,7713.75,2025-09-11,youtube,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_google_20250911,google,banner,https://ec.example.com/products?campaign=C006,4003,110,7640.4,2025-09-11,google,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_instagram_20250911,instagram,banner,https://ec.example.com/products?campaign=C006,2406,91,6580.58,2025-09-11,instagram,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_facebook_20250911,facebook,carousel,https://ec.example.com/products?campaign=C006,4216,135,7337.05,2025-09-11,facebook,cpc,アクセサリー-キャンペーン,アクセサリー
C007,デニム_特集,ADC007_twitter_20250911,twitter,banner,https://ec.example.com/products?campaign=C007,13450,253,10789.0,2025-09-11,twitter,cpc,デニム-特集,ボトムス
C007,デニム_特集,ADC007_google_20250911,google,image,https://ec.example.com/products?campaign=C007,6065,148,11860.65,2025-09-11,google,cpc,デニム-特集,ボトムス
C007,デニム_特集,ADC007_youtube_20250911,youtube,banner,https://ec.example.com/products?campaign=C007,5801,130,11322.6,2025-09-11,youtube,cpc,デニム-特集,ボトムス
C008,ワンピース_セール,ADC008_twitter_20250911,twitter,banner,https://ec.example.com/products?campaign=C008,18212,449,23881.35,2025-09-11,twitter,cpc,ワンピース-セール,ドレス
C008,ワンピース_セール,ADC008_google_20250911,google,story,https://ec.example.com/products?campaign=C008,11122,301,27903.6,2025-09-11,google,cpc,ワンピース-セール,ドレス
