campaign_id,campaign_name,ad_id,ad_platform,ad_format,target_url,impressions,clicks,cost,date,utm_source,utm_medium,utm_campaign,target_category
C001,春夏新作_ドレス,ADC001_facebook_20251110,facebook,story,https://ec.example.com/products?campaign=C001,9234,253,15410.43,2025-11-10,facebook,cpc,春夏新作-ドレス,ドレス
C001,春夏新作_ドレス,ADC001_google_20251110,google,image,https://ec.example.com/products?campaign=C001,6244,170,15291.34,2025-11-10,google,cpc,春夏新作-ドレス,ドレス
C001,春夏新作_ドレス,ADC001_instagram_20251110,instagram,carousel,https://ec.example.com/products?campaign=C001,5176,184,15293.66,2025-11-10,instagram,cpc,春夏新作-ドレス,ドレス
C002,セール_アウター,ADC002_twitter_20251110,twitter,video,https://ec.example.com/products?campaign=C002,33796,639,31537.06,2025-11-10,twitter,cpc,セール-アウター,アウター
C002,セール_アウター,ADC002_facebook_20251110,facebook,story,https://ec.example.com/products?campaign=C002,17731,528,33341.47,2025-11-10,facebook,cpc,セール-アウター,アウター
C003,トレンド_トップス,ADC003_instagram_20251110,instagram,video,https://ec.example.com/products?campaign=C003,3621,120,9748.28,2025-11-10,instagram,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_twitter_20251110,twitter,story,https://ec.example.com/products?campaign=C003,9065,170,9755.72,2025-11-10,twitter,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_youtube_20251110,youtube,image,https://ec.example.com/products?campaign=C003,4505,101,9440.15,2025-11-10,youtube,cpc,トレンド-トップス,トップス
C003,トレンド_トップス,ADC003_facebook_20251110,facebook,image,https://ec.example.com/products?campaign=C003,6262,186,10295.21,2025-11-10,facebook,cpc,トレンド-トップス,トップス
C004,新作_バッグ,ADC004_youtube_20251110,youtube,story,https://ec.example.com/products?campaign=C004,12578,269,28992.8,2025-11-10,youtube,cpc,新作-バッグ,バッグ
C004,新作_バッグ,ADC004_twitter_20251110,twitter,carousel,https://ec.example.com/products?campaign=C004,31989,677,30499.86,2025-11-10,twitter,cpc,新作-バッグ,バッグ
C005,シューズ_プロモ,ADC005_youtube_20251110,youtube,banner,https://ec.example.com/products?campaign=C005,6302,136,15653.23,2025-11-10,youtube,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_instagram_20251110,instagram,banner,https://ec.example.com/products?campaign=C005,5893,192,13041.61,2025-11-10,instagram,cpc,シューズ-プロモ,シューズ
C005,シューズ_プロモ,ADC005_google_20251110,google,carousel,https://ec.example.com/products?campaign=C005,8528,214,13891.55,2025-11-10,google,cpc,シューズ-プロモ,シューズ
C006,アクセサリー_キャンペーン,ADC006_twitter_20251110,twitter,video,https://ec.example.com/products?campaign=C006,5592,140,6532.81,2025-11-10,twitter,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_facebook_20251110,facebook,story,https://ec.example.com/products?campaign=C006,3148,103,6837.11,2025-11-10,facebook,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_instagram_20251110,instagram,image,https://ec.example.com/products?campaign=C006,2754,101,6958.54,2025-11-10,instagram,cpc,アクセサリー-キャンペーン,アクセサリー
C006,アクセサリー_キャンペーン,ADC006_google_20251110,google,image,https://ec.example.com/products?campaign=C006,4759,104,7658.67,2025-11-10,google,cpc,アクセサリー-キャンペーン,アクセサリー
C007,デニム_特集,ADC007_youtube_20251110,youtube,carousel,https://ec.example.com/products?campaign=C007,9935,202,17405.43,2025-11-10,youtube,cpc,デニム-特集,ボトムス
C007,デニム_特集,ADC007_google_20251110,google,banner,https://ec.example.com/products?campaign=C007,9773,215,14856.19,2025-11-10,google,cpc,デニム-特集,ボトムス
C008,ワンピース_セール,ADC008_youtube_20251110,youtube,video,https://ec.example.com/products?campaign=C008,5978,129,13964.12,2025-11-10,youtube,cpc,ワンピース-セール,ドレス
C008,ワンピース_セール,ADC008_facebook_20251110,facebook,story,https://ec.example.com/products?campaign=C008,6751,229,12741.69,2025-11-10,facebook,cpc,ワンピース-セール,ドレス
C008,ワンピース_セール,ADC008_twitter_20251110,twitter,story,https://ec.example.com/products?campaign=C008,9871,238,13794.58,2025-11-10,twitter,cpc,ワンピース-セール,ドレス
C008,ワンピース_セール,ADC008_instagram_20251110,instagram,banner,https://ec.example.com/products?campaign=C008,5600,187,13268.63,2025-11-10,instagram,cpc,ワンピース-セール,ドレス
