click_id,click_timestamp,campaign_id,ad_id,user_id,landing_page_url,utm_campaign,device_type,ip_address,user_agent
CLK0000049451,2025-10-17 22:25:18,C001,ADC001_facebook_20251017,U002546,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.56.2,Mozilla/5.0 (mobile)
CLK0000049452,2025-10-18 03:46:17,C001,ADC001_facebook_20251017,U001939,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.242.48,Mozilla/5.0 (mobile)
CLK0000049453,2025-10-17 21:40:13,C001,ADC001_facebook_20251017,U014847,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.243.145,Mozilla/5.0 (desktop)
CLK0000049454,2025-10-18 07:52:01,C001,ADC001_facebook_20251017,U016237,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.159.216,Mozilla/5.0 (mobile)
CLK0000049455,2025-10-17 16:06:23,C001,ADC001_facebook_20251017,U007251,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.246.5,Mozilla/5.0 (mobile)
CLK0000049456,2025-10-17 20:09:16,C001,ADC001_facebook_20251017,U016616,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.160.188,Mozilla/5.0 (mobile)
CLK0000049457,2025-10-18 08:19:36,C001,ADC001_facebook_20251017,U001143,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.49.45,Mozilla/5.0 (desktop)
CLK0000049458,2025-10-18 09:18:11,C001,ADC001_facebook_20251017,U004456,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,tablet,192.168.99.20,Mozilla/5.0 (tablet)
CLK0000049459,2025-10-18 01:18:54,C001,ADC001_facebook_20251017,U009851,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.34.242,Mozilla/5.0 (desktop)
CLK0000049460,2025-10-18 06:41:18,C001,ADC001_facebook_20251017,U006748,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.152.17,Mozilla/5.0 (mobile)
CLK0000049461,2025-10-17 19:03:07,C001,ADC001_facebook_20251017,U019822,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.82.132,Mozilla/5.0 (mobile)
CLK0000049462,2025-10-17 22:33:45,C001,ADC001_facebook_20251017,U008045,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.53.242,Mozilla/5.0 (mobile)
