click_id,click_timestamp,campaign_id,ad_id,user_id,landing_page_url,utm_campaign,device_type,ip_address,user_agent
CLK0000013701,2025-09-18 11:53:23,C001,ADC001_instagram_20250917,U007148,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.102.101,Mozilla/5.0 (mobile)
CLK0000013702,2025-09-18 13:15:10,C001,ADC001_instagram_20250917,U004781,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.2.98,Mozilla/5.0 (mobile)
CLK0000013703,2025-09-18 02:10:07,C001,ADC001_instagram_20250917,U003502,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.94.103,Mozilla/5.0 (mobile)
CLK0000013704,2025-09-17 16:42:40,C001,ADC001_instagram_20250917,U014910,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.132.113,Mozilla/5.0 (mobile)
CLK0000013705,2025-09-18 11:55:55,C001,ADC001_instagram_20250917,U000772,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.14.123,Mozilla/5.0 (mobile)
CLK0000013706,2025-09-18 11:08:50,C001,ADC001_instagram_20250917,U011918,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.50.21,Mozilla/5.0 (desktop)
CLK0000013707,2025-09-17 18:36:16,C001,ADC001_instagram_20250917,U011609,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.208.4,Mozilla/5.0 (mobile)
CLK0000013708,2025-09-17 22:55:53,C001,ADC001_instagram_20250917,U000947,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,tablet,192.168.227.150,Mozilla/5.0 (tablet)
CLK0000013709,2025-09-17 18:21:51,C001,ADC001_instagram_20250917,U015081,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,tablet,192.168.52.65,Mozilla/5.0 (tablet)
CLK0000013710,2025-09-18 08:53:43,C001,ADC001_instagram_20250917,U015423,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.84.164,Mozilla/5.0 (mobile)
CLK0000013711,2025-09-18 08:05:47,C001,ADC001_instagram_20250917,U018982,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,tablet,192.168.148.63,Mozilla/5.0 (tablet)
CLK0000013712,2025-09-18 10:39:42,C001,ADC001_instagram_20250917,U001352,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.219.168,Mozilla/5.0 (mobile)
CLK0000013713,2025-09-18 00:32:23,C001,ADC001_instagram_20250917,U010394,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.226.8,Mozilla/5.0 (mobile)
CLK0000013714,2025-09-18 02:55:06,C001,ADC001_instagram_20250917,U010780,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.78.121,Mozilla/5.0 (mobile)
CLK0000013715,2025-09-18 10:21:22,C001,ADC001_instagram_20250917,U016462,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.26.168,Mozilla/5.0 (desktop)
CLK0000013716,2025-09-18 15:20:13,C001,ADC001_instagram_20250917,U016871,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.218.111,Mozilla/5.0 (desktop)
CLK0000013717,2025-09-18 08:02:17,C001,ADC001_instagram_20250917,U013119,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.128.217,Mozilla/5.0 (desktop)
