click_id,click_timestamp,campaign_id,ad_id,user_id,landing_page_url,utm_campaign,device_type,ip_address,user_agent
CLK0000030001,2025-10-01 15:43:16,C001,ADC001_twitter_20251001,U000955,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.130.13,Mozilla/5.0 (desktop)
CLK0000030002,2025-10-02 14:58:40,C001,ADC001_twitter_20251001,U001983,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.192.195,Mozilla/5.0 (mobile)
CLK0000030003,2025-10-02 06:34:43,C001,ADC001_twitter_20251001,U018359,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.13.147,Mozilla/5.0 (desktop)
CLK0000030004,2025-10-01 23:08:56,C001,ADC001_twitter_20251001,U017022,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.18.69,Mozilla/5.0 (desktop)
CLK0000030005,2025-10-02 12:17:21,C001,ADC001_twitter_20251001,U013590,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.126.139,Mozilla/5.0 (mobile)
CLK0000030006,2025-10-01 17:22:00,C001,ADC001_twitter_20251001,U008995,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,tablet,192.168.189.235,Mozilla/5.0 (tablet)
CLK0000030007,2025-10-01 22:56:40,C001,ADC001_twitter_20251001,U016377,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.86.109,Mozilla/5.0 (mobile)
CLK0000030008,2025-10-02 11:45:49,C001,ADC001_twitter_20251001,U019839,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.23.183,Mozilla/5.0 (desktop)
CLK0000030009,2025-10-02 00:06:09,C001,ADC001_twitter_20251001,U011712,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.46.124,Mozilla/5.0 (mobile)
CLK0000030010,2025-10-02 04:41:19,C001,ADC001_twitter_20251001,U004524,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.114.85,Mozilla/5.0 (mobile)
CLK0000030011,2025-10-02 06:44:32,C001,ADC001_twitter_20251001,U008174,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.85.129,Mozilla/5.0 (desktop)
CLK0000030012,2025-10-01 22:02:57,C001,ADC001_twitter_20251001,U006570,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.168.85,Mozilla/5.0 (mobile)
CLK0000030013,2025-10-02 03:18:29,C001,ADC001_twitter_20251001,U014358,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.170.1,Mozilla/5.0 (mobile)
CLK0000030014,2025-10-01 23:10:10,C001,ADC001_twitter_20251001,U012527,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.119.180,Mozilla/5.0 (mobile)
CLK0000030015,2025-10-02 12:45:52,C001,ADC001_twitter_20251001,U006366,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.95.89,Mozilla/5.0 (desktop)
CLK0000030016,2025-10-02 08:35:45,C001,ADC001_twitter_20251001,U001042,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.69.61,Mozilla/5.0 (mobile)
CLK0000030017,2025-10-02 01:06:24,C001,ADC001_twitter_20251001,U003771,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.59.188,Mozilla/5.0 (desktop)
CLK0000030018,2025-10-02 10:06:56,C001,ADC001_twitter_20251001,U001036,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.245.2,Mozilla/5.0 (mobile)
