click_id,click_timestamp,campaign_id,ad_id,user_id,landing_page_url,utm_campaign,device_type,ip_address,user_agent
CLK0000083201,2025-11-16 08:18:37,C001,ADC001_youtube_20251115,U003348,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,tablet,192.168.80.250,Mozilla/5.0 (tablet)
CLK0000083202,2025-11-15 22:45:59,C001,ADC001_youtube_20251115,U004225,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.69.231,Mozilla/5.0 (mobile)
CLK0000083203,2025-11-16 10:25:28,C001,ADC001_youtube_20251115,U011954,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.189.17,Mozilla/5.0 (mobile)
CLK0000083204,2025-11-16 02:40:58,C001,ADC001_youtube_20251115,U007166,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.16.51,Mozilla/5.0 (mobile)
CLK0000083205,2025-11-16 06:47:48,C001,ADC001_youtube_20251115,U010229,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.159.86,Mozilla/5.0 (mobile)
CLK0000083206,2025-11-15 22:34:46,C001,ADC001_youtube_20251115,U009300,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.56.88,Mozilla/5.0 (mobile)
CLK0000083207,2025-11-16 14:03:49,C001,ADC001_youtube_20251115,U007028,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.252.169,Mozilla/5.0 (desktop)
CLK0000083208,2025-11-15 18:36:53,C001,ADC001_youtube_20251115,U016089,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.102.127,Mozilla/5.0 (mobile)
CLK0000083209,2025-11-15 22:26:58,C001,ADC001_youtube_20251115,U007457,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.46.196,Mozilla/5.0 (mobile)
CLK0000083210,2025-11-16 13:27:03,C001,ADC001_youtube_20251115,U018795,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.65.209,Mozilla/5.0 (mobile)
CLK0000083211,2025-11-15 15:51:21,C001,ADC001_youtube_20251115,U005485,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,tablet,192.168.137.91,Mozilla/5.0 (tablet)
CLK0000083212,2025-11-16 04:49:47,C001,ADC001_youtube_20251115,U004619,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.180.227,Mozilla/5.0 (mobile)
CLK0000083213,2025-11-15 17:41:56,C001,ADC001_youtube_20251115,U007501,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.152.187,Mozilla/5.0 (mobile)
CLK0000083214,2025-11-15 22:16:22,C001,ADC001_youtube_20251115,U007845,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,tablet,192.168.250.176,Mozilla/5.0 (tablet)
CLK0000083215,2025-11-16 07:19:25,C001,ADC001_youtube_20251115,U008690,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.162.119,Mozilla/5.0 (mobile)
CLK0000083216,2025-11-15 19:03:48,C001,ADC001_youtube_20251115,U004770,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.199.225,Mozilla/5.0 (mobile)
CLK0000083217,2025-11-15 16:05:48,C001,ADC001_youtube_20251115,U019624,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.120.74,Mozilla/5.0 (mobile)
CLK0000083218,2025-11-16 15:14:54,C001,ADC001_youtube_20251115,U015475,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.24.15,Mozilla/5.0 (mobile)
CLK0000083219,2025-11-15 17:54:05,C001,ADC001_youtube_20251115,U013805,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.146.127,Mozilla/5.0 (mobile)
CLK0000083220,2025-11-16 09:38:44,C001,ADC001_youtube_20251115,U001678,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.13.15,Mozilla/5.0 (mobile)
CLK0000083221,2025-11-16 09:14:38,C001,ADC001_youtube_20251115,U015724,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.3.244,Mozilla/5.0 (mobile)
CLK0000083222,2025-11-16 12:30:26,C001,ADC001_youtube_20251115,U003475,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.188.210,Mozilla/5.0 (desktop)
CLK0000083223,2025-11-16 02:27:43,C001,ADC001_youtube_20251115,U017157,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.126.112,Mozilla/5.0 (mobile)
CLK0000083224,2025-11-16 14:58:23,C001,ADC001_youtube_20251115,U001613,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.147.230,Mozilla/5.0 (desktop)
CLK0000083225,2025-11-16 00:19:15,C001,ADC001_youtube_20251115,U001069,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.116.187,Mozilla/5.0 (mobile)
CLK0000083226,2025-11-15 23:23:46,C001,ADC001_youtube_20251115,U007055,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.113.232,Mozilla/5.0 (mobile)
